cbsa,metro,state,population,median_household_income,median_gross_rent
33660,"Mobile, AL",Alabama,411640,58119,1021
36100,"Ocala, FL",Florida,409959,58535,1174
34940,"Naples-Marco Island, FL",Florida,404310,86173,1752
22420,"Flint, MI",Michigan,401522,60673,936
11260,"Anchorage, AK",Alaska,401314,95991,1397
15940,"Canton-Massillon, OH",Ohio,399474,65669,871
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",South Carolina,397478,64623,1181
13140,"Beaumont-Port Arthur, TX",Texas,395479,64703,1056
45220,"Tallahassee, FL",Florida,392645,63477,1157
22180,"Fayetteville, NC",North Carolina,392336,58962,1141
33860,"Montgomery, AL",Alabama,385480,63485,1062
43900,"Spartanburg, SC",South Carolina,383327,62598,1002
43340,"Shreveport-Bossier City, LA",Louisiana,383295,55294,1015
45940,"Trenton-Princeton, NJ",New Jersey,381671,96333,1515
21660,"Eugene-Springfield, OR",Oregon,381181,69311,1287
19340,"Davenport-Moline-Rock Island, IA-IL",Illinois,379441,71778,899
22660,"Fort Collins-Loveland, CO",Colorado,370771,91364,1677
25860,"Hickory-Lenoir-Morganton, NC",North Carolina,370030,60509,822
12100,"Atlantic City-Hammonton, NJ",New Jersey,369823,79691,1330
26580,"Huntington-Ashland, WV-KY-OH",West Virginia,368261,58463,858
11460,"Ann Arbor, MI",Michigan,365536,87156,1400
37900,"Peoria, IL",Illinois,362240,71452,916
31180,"Lubbock, TX",Texas,360104,62300,1098
24540,"Greeley, CO",Colorado,359442,93287,1469
23540,"Gainesville, FL",Florida,352126,58964,1176
30700,"Lincoln, NE",Nebraska,344387,73061,1041
17300,"Clarksville, TN-KY",Tennessee,340495,67341,1139
40420,"Rockford, IL",Illinois,334124,67114,990
24580,"Green Bay, WI",Wisconsin,331882,77460,943
14500,"Boulder, CO",Colorado,326831,102772,1893
43780,"South Bend-Mishawaka, IN-MI",Indiana,324490,65382,1005
17980,"Columbus, GA-AL",Georgia,323768,58528,1013
40220,"Roanoke, VA",Virginia,314314,69177,993
28420,"Kennewick-Richland, WA",Washington,314253,85879,1229
28700,"Kingsport-Bristol, TN-VA",Tennessee,313025,56100,810
25180,"Hagerstown-Martinsburg, MD-WV",Maryland,305902,74933,1144
47380,"Waco, TX",Texas,304865,63745,1074
18880,"Crestview-Fort Walton Beach-Destin, FL",Florida,304818,79149,1531
43620,"Sioux Falls, SD-MN",South Dakota,304555,80897,1005
36500,"Olympia-Lacey-Tumwater, WA",Washington,299003,93985,1634
30980,"Longview, TX",Texas,293498,65297,1027
