occ_code,state,median_annual,employment
13-1161,Rhode Island,77150,3240
13-1161,South Carolina,60230,9740
13-1161,South Dakota,61990,1480
13-1161,Tennessee,63580,12760
13-1161,Texas,64690,52200
13-1161,Utah,59890,14020
13-1161,Vermont,66560,980
13-1161,Virginia,75640,24180
13-1161,Washington,96960,25200
13-1161,West Virginia,49610,1370
13-1161,Wisconsin,62250,13920
13-1161,Wyoming,52600,980
13-2011,Alabama,65930,24930
13-2011,Alaska,78580,2430
13-2011,Arizona,78060,25840
13-2011,Arkansas,62570,7460
13-2011,California,92160,166020
13-2011,Colorado,84200,34310
13-2011,Connecticut,81560,16320
13-2011,Delaware,82050,5840
13-2011,District of Columbia,101940,11310
13-2011,Florida,76480,89350
13-2011,Georgia,78970,44580
13-2011,Hawaii,69490,4980
13-2011,Idaho,62610,6380
13-2011,Illinois,78280,53120
13-2011,Indiana,74590,24490
13-2011,Iowa,71440,13090
13-2011,Kansas,75870,13990
13-2011,Kentucky,67210,11890
13-2011,Louisiana,66310,13350
13-2011,Maine,76660,4890
13-2011,Maryland,83060,24470
13-2011,Massachusetts,87890,42420
13-2011,Michigan,76190,40510
13-2011,Minnesota,78220,30370
13-2011,Mississippi,61250,7380
13-2011,Missouri,70870,27380
13-2011,Montana,67190,4390
13-2011,Nebraska,68950,9830
13-2011,Nevada,73720,6690
13-2011,New Hampshire,78860,7310
13-2011,New Jersey,99710,46860
13-2011,New Mexico,69990,6810
13-2011,New York,101090,119150
13-2011,North Carolina,79920,43100
13-2011,North Dakota,65350,4290
13-2011,Ohio,75550,50670
13-2011,Oklahoma,75500,15940
13-2011,Oregon,78420,14130
13-2011,Pennsylvania,75370,54540
13-2011,Rhode Island,92150,6350
13-2011,South Carolina,66780,15760
13-2011,South Dakota,75110,6170
13-2011,Tennessee,72980,26650
13-2011,Texas,78900,111160
13-2011,Utah,73920,16170
13-2011,Vermont,73520,2690
13-2011,Virginia,81590,50040
13-2011,Washington,88630,35990
13-2011,West Virginia,67500,4830
13-2011,Wisconsin,76510,26530
13-2011,Wyoming,74660,2630
13-2051,Alabama,84990,2250
13-2051,Alaska,91790,270
13-2051,Arizona,81560,6260
13-2051,Arkansas,76190,1310
13-2051,California,109080,35660
13-2051,Colorado,97570,8460
13-2051,Connecticut,101780,5610
13-2051,Delaware,96750,2920
13-2051,District of Columbia,102890,3710
13-2051,Florida,81680,18070
13-2051,Georgia,83610,10450
13-2051,Hawaii,85180,520
13-2051,Idaho,76830,840
13-2051,Illinois,101510,17060
13-2051,Indiana,81310,2430
13-2051,Iowa,85650,2180
13-2051,Kansas,79190,1790
13-2051,Kentucky,61590,2340
13-2051,Louisiana,52010,1700
13-2051,Maine,86100,710
13-2051,Maryland,97640,3810
13-2051,Massachusetts,103240,16840
13-2051,Michigan,83920,7520
13-2051,Minnesota,99380,6620
13-2051,Mississippi,76970,650
13-2051,Missouri,79030,5650
13-2051,Montana,91940,390
13-2051,Nebraska,80080,940
13-2051,Nevada,82110,1030
13-2051,New Hampshire,87250,690
13-2051,New Jersey,103680,11250
13-2051,New Mexico,80900,810
13-2051,New York,125110,49220
13-2051,North Carolina,99990,10490
13-2051,North Dakota,79520,280
13-2051,Ohio,83960,7820
13-2051,Oklahoma,79560,1760
13-2051,Oregon,101820,2390
13-2051,Pennsylvania,82810,12020
13-2051,Rhode Island,80950,1870
13-2051,South Carolina,87840,3470
13-2051,South Dakota,79860,620
13-2051,Tennessee,83490,3230
13-2051,Texas,87950,25100
13-2051,Utah,82050,4370
13-2051,Vermont,93560,270
13-2051,Virginia,103060,9130
13-2051,Washington,98080,7420
13-2051,West Virginia,67090,320
13-2051,Wisconsin,88830,4490
13-2052,Alaska,84710,120
13-2052,Arizona,81850,6750
13-2052,Arkansas,63080,1910
13-2052,California,103330,32100
13-2052,Colorado,96440,5460
13-2052,Connecticut,124100,3620
13-2052,Delaware,107170,780
13-2052,District of Columbia,97860,990
13-2052,Florida,92770,20920
13-2052,Georgia,98330,7220
13-2052,Hawaii,75330,770
13-2052,Idaho,94980,770
13-2052,Illinois,95870,9360
13-2052,Indiana,95410,5380
13-2052,Iowa,83070,2070
13-2052,Kansas,78290,3310
13-2052,Kentucky,77950,2470
13-2052,Louisiana,107580,1070
13-2052,Maryland,98480,5730
13-2052,Massachusetts,99930,8840
13-2052,Michigan,70390,7860
13-2052,Minnesota,98920,6020
13-2052,Missouri,101100,5150
13-2052,Montana,81110,720
13-2052,Nebraska,73110,1070
13-2052,New Hampshire,82980,2100
13-2052,New Jersey,126670,8320
13-2052,New Mexico,78370,680
13-2052,New York,161760,27440
13-2052,North Carolina,102920,14500
13-2052,North Dakota,102700,640
13-2052,Ohio,82030,9370
13-2052,Oklahoma,102990,1030
13-2052,Oregon,64410,2750
13-2052,Pennsylvania,100370,11360
13-2052,Rhode Island,100530,1130
13-2052,South Carolina,77900,2470
13-2052,South Dakota,105470,430
13-2052,Tennessee,78140,3320
13-2052,Texas,81660,18740
13-2052,Utah,65300,2650
13-2052,Vermont,102240,300
13-2052,Virginia,102430,6860
13-2052,Washington,91580,4960
13-2052,West Virginia,74690,550
13-2052,Wisconsin,99660,4680
13-2072,Alabama,62140,5780
13-2072,Alaska,66320,550
13-2072,Arizona,51970,10930
13-2072,Arkansas,69100,3020
13-2072,California,73380,30520
13-2072,Colorado,76170,5090
13-2072,Connecticut,71440,2810
13-2072,Delaware,79530,1680
13-2072,District of Columbia,100210,380
13-2072,Florida,65560,25670
13-2072,Georgia,77050,10830
13-2072,Hawaii,68330,1100
13-2072,Idaho,58780,2670
